SERIE,NVONRO,NSEGRUP,NSE,SEXO,GEDAD,EDAD,NIVEDU,P10A,P10B,P10C,P11A,P11B,P11C,P12A,P12B,P12C,P12D,P12E,P12F,P12G,P12H,P13A,P13B,P13C,P13D,P13E,P13F,P13G,P13H,index_O,index_B
2012,20120001,AB,2,Mujer,3,55,SecundariaCompleta,2,3,3,3,3,3,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,3,1
2012,20120002,AB,2,Hombre,3,62,Superiortecnica completa,2,2,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0
2012,20120003,AB,1,Mujer,3,70,Superiortecnica completa,3,3,3,3,3,3,1,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1
2012,20120004,AB,2,Mujer,1,20,Superior universitaria incompleta,3,4,3,3,3,3,1,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,6,1
2012,20120005,AB,2,Mujer,1,18,Superiortecnica completa,3,4,4,3,3,3,1,1,1,1,0,0,0,1,1,2,2,1,1,1,1,1,5,1
2012,20120006,C,3,Hombre,1,25,SuperiorTecnicaincompleta,3,4,4,2,2,2,1,0,1,0,1,1,0,1,2,2,2,1,1,1,1,1,5,1
2012,20120007,DE,4,Hombre,3,46,SecundariaCompleta,3,3,3,3,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0
2012,20120008,C,3,Hombre,2,38,SecundariaCompleta,3,3,3,3,3,3,1,0,0,1,1,1,0,1,1,2,2,1,1,1,1,1,5,1
2012,20120009,C,3,Hombre,3,52,SecundariaCompleta,4,4,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120010,C,3,Mujer,3,53,SecundariaCompleta,3,4,4,3,3,3,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2012,20120011,C,3,Mujer,2,43,SecundariaIncompleta,3,3,3,3,3,3,1,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,2,1
2012,20120012,DE,4,Hombre,3,68,Primaria,4,4,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120013,C,3,Mujer,1,27,SecundariaCompleta,3,3,3,3,3,3,0,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,2,1
2012,20120014,DE,5,Hombre,1,21,SecundariaIncompleta,3,3,3,2,3,3,0,0,0,0,0,0,0,0,2,2,1,1,1,1,2,1,0,0
2012,20120015,C,3,Hombre,2,42,SecundariaCompleta,3,3,3,3,3,3,1,1,0,0,1,0,0,0,1,2,2,1,1,1,1,1,3,1
2012,20120016,AB,2,Mujer,2,33,SecundariaCompleta,3,3,3,3,3,3,1,1,1,1,1,1,0,0,2,1,2,1,1,1,1,1,6,1
2012,20120017,C,3,Hombre,2,37,SuperiorTecnicaincompleta,2,2,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0
2012,20120018,AB,2,Hombre,3,67,SecundariaCompleta,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,0,0
2012,20120019,AB,2,Mujer,3,70,Superiortecnica completa,2,3,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120020,AB,2,Mujer,1,21,Superior universitaria incompleta,3,4,4,3,3,3,1,1,0,1,0,0,0,1,2,2,2,1,1,1,1,1,4,1
2012,20120021,C,3,Hombre,3,69,SuperiorTecnicaincompleta,3,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120022,C,3,Mujer,2,33,Superiortecnica completa,3,4,4,2,2,2,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1
2012,20120023,C,3,Mujer,3,67,Superior universitaria completa,3,4,4,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120024,AB,2,Hombre,1,24,Superiortecnica completa,3,4,4,3,3,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,1
2012,20120025,C,3,Hombre,2,33,SecundariaCompleta,3,4,4,2,2,2,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1
